schema_version,candidate_id,timestamp_us,branch_id,is_interesting,taken
v1,1,1790014127072011,0e8fd84a25f0fbd0:0x7dd,1,1
v1,2,1790014128586803,0e8fd84a25f0fbd0:0x93f,1,1
v1,1,1790014131412984,0e8fd84a25f0fbd0:0x7dd,0,0
v1,1,1790014134078400,0e8fd84a25f0fbd0:0x7dd,0,1
v1,2,1790014136043517,0e8fd84a25f0fbd0:0x93f,1,0
v1,1,1790014138908847,0e8fd84a25f0fbd0:0x7dd,0,0
v1,1,1790014141568162,0e8fd84a25f0fbd0:0x7dd,0,0
